rank	word	reason
62289	100-Meter-Hürdenlaufs	non_word_chars
62290	100-Meter-Hürdenläufe	non_word_chars
62291	100-Meter-Hürdenläufen	non_word_chars
62292	100-Meter-Lauf	non_word_chars
62293	100-Meter-Laufes	non_word_chars
62294	100-Meter-Laufs	non_word_chars
62295	100-Meter-Läufe	non_word_chars
62296	100-Meter-Läufen	non_word_chars
62297	100-prozentig	non_word_chars
62298	100-prozentige	non_word_chars
62299	100-prozentigem	non_word_chars
62300	100-prozentigen	non_word_chars
62301	100-prozentiger	non_word_chars
62302	100-prozentiges	non_word_chars
62303	100-Watt-Glühbirne	non_word_chars
62304	100-Watt-Glühbirnen	non_word_chars
62305	1000-Franken-Note	non_word_chars
62306	1000-Franken-Noten	non_word_chars
62307	1000-Franken-Schein	non_word_chars
62308	1000-Franken-Scheine	non_word_chars
62309	1000-Franken-Scheinen	non_word_chars
62310	1000-Franken-Scheines	non_word_chars
62311	1000-Franken-Scheins	non_word_chars
62312	1000-jährig	non_word_chars
62313	1000-jährige	non_word_chars
62314	1000-jährigem	non_word_chars
62315	1000-jährigen	non_word_chars
62316	1000-jähriger	non_word_chars
62317	1000-jähriges	non_word_chars
62318	1000-Mark-Schein	non_word_chars
62319	1000-Mark-Scheine	non_word_chars
62320	1000-Mark-Scheinen	non_word_chars
62321	1000-Mark-Scheines	non_word_chars
62322	1000-Mark-Scheins	non_word_chars
62323	1000-Watt-Birne	non_word_chars
62324	1000-Watt-Birnen	non_word_chars
62325	1000jährig	non_word_chars
62326	1000jährige	non_word_chars
62327	1000jährigem	non_word_chars
62328	1000jährigen	non_word_chars
62329	1000jähriger	non_word_chars
62330	1000jähriges	non_word_chars
62331	100pro	non_word_chars
62332	100prozentig	non_word_chars
62333	100prozentige	non_word_chars
62334	100prozentigem	non_word_chars
62335	100prozentigen	non_word_chars
62336	100prozentiger	non_word_chars
62337	100prozentiges	non_word_chars
62338	102-Jährige	non_word_chars
62339	102-Jährigem	non_word_chars
62340	102-Jährigen	non_word_chars
62341	102-Jähriger	non_word_chars
62342	10prozentig	non_word_chars
62343	10prozentige	non_word_chars
62344	10prozentigem	non_word_chars
62345	10prozentigen	non_word_chars
62346	10prozentiger	non_word_chars
62347	10prozentiges	non_word_chars
62348	10seitig	non_word_chars
62349	10seitige	non_word_chars
62350	10seitigem	non_word_chars
62351	10seitigen	non_word_chars
62352	10seitiger	non_word_chars
62353	10seitiges	non_word_chars
62354	11-Kilometer-Lauf	non_word_chars
62355	11-Kilometer-Laufe	non_word_chars
62356	11-Kilometer-Laufes	non_word_chars
62357	11-Kilometer-Laufs	non_word_chars
62358	11-Kilometer-Läufe	non_word_chars
62359	11-Kilometer-Läufen	non_word_chars
62360	11-minütig	non_word_chars
62361	11-minütige	non_word_chars
62362	11-minütigem	non_word_chars
62363	11-minütigen	non_word_chars
62364	11-minütiger	non_word_chars
62365	11-minütiges	non_word_chars
